"Name","Size","Date Modified","Date Created"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\05-1 慧灯禅修课33 加行的修法-上师瑜伽1.mp4","442.80 MB","2022-07-11 12:28:50 AM","2023-11-13 11:26:35 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\金刚萨埵的修法\07 慧灯禅修课29 加行的修法-金刚萨埵2.mp4","446.95 MB","2020-12-23 6:35:51 PM","2023-11-13 12:20:47 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\03-2 慧灯禅修课29 加行的修法-金刚萨埵2.mp4","446.95 MB","2021-12-28 7:57:45 PM","2021-12-28 7:57:45 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\皈依的修法\05 慧灯禅修课21 加行的修法-皈依1.mp4","447.28 MB","2021-12-28 10:34:25 PM","2023-11-13 12:11:22 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\01-1 慧灯禅修课21 加行的修法-皈依1.mp4","447.28 MB","2020-12-23 4:40:24 PM","2020-12-23 4:40:24 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\金刚萨埵的修法\08 慧灯禅修课30 加行的修法-金刚萨埵3.mp4","447.64 MB","2021-12-28 7:58:24 PM","2023-11-13 12:21:35 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\03-3 慧灯禅修课30 加行的修法-金刚萨埵3.mp4","447.64 MB","2021-12-28 7:58:24 PM","2021-12-28 7:58:24 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第三册\从《佛说稻秆经》谈佛教人生观和世界观2.mp4","451.74 MB","2020-12-23 3:09:25 PM","2020-12-23 3:09:25 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\佛说稻秆经\从《佛说稻秆经》谈佛教人生观和世界观2.mp4","451.74 MB","2020-12-23 3:09:25 PM","2020-12-23 3:09:25 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\皈依的修法\06 慧灯禅修课22 加行的修法-皈依2.mp4","451.97 MB","2021-12-28 10:34:41 PM","2023-11-13 12:13:18 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\01-2 慧灯禅修课22 加行的修法-皈依2.mp4","451.97 MB","2021-12-28 10:34:41 PM","2021-12-28 10:34:41 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\金刚萨埵的修法\06 慧灯禅修课28 加行的修法-金刚萨埵1.mp4","452.37 MB","2021-12-28 7:57:00 PM","2023-11-13 12:20:45 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\03-1 慧灯禅修课28 加行的修法-金刚萨埵1.mp4","452.37 MB","2021-12-28 7:57:00 PM","2021-12-28 7:57:00 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第三册\从《佛说稻秆经》谈佛教人生观和世界观4.mp4","452.78 MB","2020-12-23 3:13:50 PM","2020-12-23 3:13:50 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\佛说稻秆经\从《佛说稻秆经》谈佛教人生观和世界观4.mp4","452.78 MB","2020-12-23 3:13:50 PM","2020-12-23 3:13:50 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\菩提心\09 慧灯禅修课25 加行的修法-菩提心2.mp4","452.82 MB","2021-12-27 9:08:30 PM","2023-11-13 12:17:45 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\02-2 慧灯禅修课25 加行的修法-菩提心2.mp4","452.82 MB","2021-12-27 9:08:30 PM","2021-12-27 9:08:30 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\08 四圣谛详解8 集谛2.mp4","453.01 MB","2022-03-11 1:48:28 AM","2024-10-26 12:21:42 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\19 四圣谛详解8 集谛2.mp4","453.01 MB","2022-03-11 1:48:28 AM","2023-11-13 11:48:05 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\上师瑜伽\08 慧灯禅修课35 加行的修法-上师瑜伽3.mp4","453.43 MB","2022-08-04 5:59:07 AM","2023-11-13 9:45:21 AM"
